date,open,high,low,close,volume,ROC,SMA,RSI,Real Middle Band,Real Lower Band,Real Upper Band
2023-07-17 15:45:00,345.46,345.95,344.95,345.73,2208008.0,0.2348,345.7612,50.2029,345.7612,342.1922582144043,349.33014178559563
2023-07-17 16:00:00,345.73,345.79,344.8,345.12,7528790.0,-0.0542,345.7518,46.4916,345.7518,342.1965719781026,349.3070280218974
2023-07-17 16:15:00,345.12,345.73,344.79,344.91,9642.0,-0.1144,345.732,45.2785,345.732,342.1824733803848,349.28152661961525
2023-07-17 16:30:00,344.91,345.73,344.782,344.99,275700.0,-0.1823,345.7005,45.8451,345.7005,342.1529908308464,349.24800916915353
2023-07-17 16:45:00,345.0,345.09,344.712,344.712,10741.0,-0.3435,345.6412,44.1721,345.6412,342.09870083526766,349.1836991647324
2023-07-17 17:00:00,344.77,345.73,321.635,345.18,11571.0,-0.2961,345.5899,47.5631,345.5899,342.04545259118095,349.13434740881905
2023-07-17 17:15:00,345.37,350.827,345.05,345.24,2811.0,-0.0695,345.5779,47.9894,345.5779,344.3803602164031,346.7754397835969
2023-07-17 17:30:00,345.06,345.47,345.06,345.37,2710.0,-0.0781,345.5644,48.9363,345.5644,344.84797523464835,346.2808247653516
2023-07-17 17:45:00,345.37,345.47,345.3,345.47,978.0,-0.1272,345.5424,49.6781,345.5424,344.8494442998979,346.23535570010205
2023-07-17 18:00:00,345.35,345.47,345.0,345.17,3302.0,-0.2341,345.5019,47.4991,345.5019,344.7441473980166,346.25965260198336
2023-07-17 18:15:00,345.18,345.2,345.0,345.11,1933.0,-0.1995,345.4674,47.0645,345.4674,344.5969107244131,346.3378892755869
2023-07-17 18:30:00,345.1,345.2,344.55,344.9,4507.0,-0.2285,345.4279,45.5297,345.4279,344.43879301309556,346.4170069869045
2023-07-17 18:45:00,344.9,345.19,344.6,344.76,2219.0,-0.4447,345.3509,44.5111,345.3509,344.30163074719775,346.4001692528023
2023-07-17 19:00:00,344.7,344.85,344.67,344.85,2443.0,-0.459,345.2714,45.3386,345.2714,344.1407830799751,346.40201692002495
2023-07-17 19:15:00,344.87,345.2,344.81,344.9,1093.0,-0.3899,345.2039,45.8112,345.2039,344.05446324193883,346.3533367580611
2023-07-17 19:30:00,345.1,345.2,344.9,345.07,5968.0,-0.0955,345.1874,47.4376,345.1874,343.85674775744894,346.5180522425511
2023-07-17 19:45:00,345.07,345.15,344.8,344.94,4798.0,-0.0828,345.1731,46.3186,345.1731,343.73815865027325,346.6080413497267
2023-07-18 04:00:00,344.9,345.69,344.84,344.84,2439.0,-0.1477,345.1476,45.4504,345.1476,343.7124106981565,346.58278930184355
2023-07-18 04:15:00,345.18,345.56,345.18,345.29,2010.0,-0.2629,345.1021,49.8986,345.1021,343.6200421829559,346.5841578170441
2023-07-18 04:30:00,345.3,345.36,344.53,344.78,1901.0,-0.2055,345.0666,45.4748,345.0666,343.5253911769591,346.6078088230409
2023-07-18 04:45:00,344.85,344.87,343.88,344.68,1167.0,-0.3037,345.0141,44.6576,345.0141,343.3417341736115,346.6864658263885
2023-07-18 05:00:00,344.68,344.74,344.33,344.53,736.0,-0.171,344.9846,43.4255,344.9846,343.05218633611133,346.91701366388867
2023-07-18 05:15:00,344.61,344.74,344.16,344.2,2689.0,-0.2059,344.9491,40.8175,344.9491,342.8454180270683,347.05278197293165
2023-07-18 05:30:00,344.17,344.55,344.16,344.48,394.0,-0.1478,344.9236,43.8304,344.9236,342.71134175048746,347.1358582495126
2023-07-18 05:45:00,344.42,344.45,344.2,344.3,519.0,-0.1195,344.903,42.3708,344.903,342.64112675807496,347.1648732419251
2023-07-18 06:00:00,344.3,344.41,344.3,344.39,161.0,-0.2289,344.8635,43.3635,344.8635,342.5960585184005,347.13094148159945
2023-07-18 06:15:00,344.42,344.62,344.3,344.54,219.0,-0.2028,344.8285,45.0248,344.8285,342.5624941324489,347.09450586755116
2023-07-18 06:30:00,344.32,345.53,344.32,345.38,5871.0,0.0029,344.829,53.1294,344.829,342.54667056619604,347.111329433804
2023-07-18 06:45:00,345.38,346.0,345.16,346.0,5205.0,0.1534,344.8555,57.9462,344.8555,341.1396124065738,348.5713875934262
2023-07-18 07:00:00,345.8,346.18,345.48,345.92,13956.0,0.2173,344.893,57.1485,344.893,338.5311086463788,351.25489135362113
2023-07-18 07:15:00,345.92,346.1,345.78,345.95,8900.0,0.2434,344.935,57.3801,344.935,336.0021633599746,353.8678366400254
2023-07-18 07:30:00,345.88,345.94,345.43,345.75,10012.0,0.2464,344.9775,55.2833,344.9775,333.45818779242353,356.4968122075765
2023-07-18 07:45:00,345.79,346.08,345.77,345.9,2742.0,0.3307,345.0345,56.5372,345.0345,331.03749188176516,359.0315081182348
2023-07-18 08:00:00,345.48,346.29,344.062,346.29,40191.0,0.4176,345.1065,59.6348,345.1065,329.6762244663113,360.5367755336887
2023-07-18 08:15:00,346.29,347.0,346.087,346.59,26191.0,0.49,345.191,61.8371,345.191,328.61341051827816,361.7685894817218
2023-07-18 08:30:00,346.54,347.0,346.0,346.02,37134.0,0.2753,345.2385,55.7533,345.2385,327.7877927352252,362.6892072647748
2023-07-18 08:45:00,346.0,346.325,344.16,345.9,28515.0,0.2783,345.2865,54.5637,345.2865,327.08770925054046,363.4852907494595
2023-07-18 09:00:00,345.94,346.2,345.91,346.07,9751.0,0.3567,345.348,55.9648,345.348,326.7080223853782,363.98797761462185
2023-07-18 09:15:00,346.05,346.9,345.75,345.99,41574.0,0.2027,345.383,55.1228,345.383,326.33243483271696,364.433565167283
2023-07-18 09:30:00,345.83,345.95,342.56,342.938,2187079.0,-0.5343,345.2909,34.3613,345.2909,326.0067073739222,364.57509262607783
2023-07-18 09:45:00,342.95,343.41,342.17,343.37,1226119.0,-0.3801,345.2254,37.8491,345.2254,326.13756857682176,364.3132314231782
2023-07-18 10:00:00,343.39,343.83,342.62,343.26,756996.0,-0.3686,345.1619,37.3176,345.1619,326.6825451348364,363.6412548651636
